Plant_ID,2022_red,2022_yellow,2022_venation,2022_colour,2021_red,2021_yellow,2021_venation,2021_colour,2020_red,2020_yellow,2020_venation,2020_colour,2019_red,2019_yellow,2019_venation,2019_colour,2018_red,2018_yellow,2018_venation,2018_colour,2017_red,2017_yellow,2017_venation,2017_colour,2016_red,2016_yellow,2016_venation,2016_colour,2015_red,2015_yellow,2015_venation,2015_colour
pb0199,,,,,0.5,2,1.5,Ye,,,,,,,,,,,,,,,,,,,,,,,,
pb0200,,,,,1.5,1,3,WR,,,,,,,,,,,,,,,,,,,,,,,,
pb0201,,,,,0.5,1,1,Wh,,,,,,,,,,,,,,,,,,,,,,,,
pb0202,,,,,3,2,3.5,FO,,,,,,,,,,,,,,,,,,,,,,,,
pb0203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0204,,,,,0.5,1.5,1.5,Wh,,,,,,,,,,,,,,,,,,,,,,,,
pb0205,,,,,3,2.5,3.5,FO,,,,,,,,,,,,,,,,,,,,,,,,
pb0206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0207,,,,,1,2.5,3,Ye,,,,,,,,,,,,,,,,,,,,,,,,
pb0209,,,,,0.5,2.5,1,Ye,,,,,,,,,,,,,,,,,,,,,,,,
pb0210,,,,,4,2.5,3,FO,,,,,,,,,,,,,,,,,,,,,,,,
pb0211,,,,,2.5,2.5,3.5,WO,,,,,,,,,,,,,,,,,,,,,,,,
pb0213,,,,,1.5,2.5,3,WO,,,,,,,,,,,,,,,,,,,,,,,,
pb0214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0215,,,,,0.5,2.5,1.5,Ye,,,,,,,,,,,,,,,,,,,,,,,,
pb0216,,,,,1.5,1,2.5,WR,,,,,,,,,,,,,,,,,,,,,,,,
pb0217,,,,,0.5,3,3,Ye,,,,,,,,,,,,,,,,,,,,,,,,
pb0218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0219,,,,,0.5,2,1,Ye,,,,,,,,,,,,,,,,,,,,,,,,
pb0220,,,,,1,2.5,3.5,Ye,,,,,,,,,,,,,,,,,,,,,,,,
pb0221,,,,,4,2,4,FO,,,,,,,,,,,,,,,,,,,,,,,,
