ID			Plate	row	column	coord				10 coverage							
pb0779	N706	D05	6	E	1	E1	6E1											
pb0780	N706	D06	6	F	1	F1	6F1											
pb0782	N706	D07	6	G	1	G1	6G1											
pb0784	N706	D08	6	H	1	H1	6H1											
pb0785	N706	D09	6	A	2	A2	6A2											
pb0786	N706	D10	6	B	2	B2	6B2											
pb0787	N706	D11	6	C	2	C2	6C2											
pb0788	N706	D12	6	D	2	D2	6D2											
pb0789	N706	D13	6	E	2	E2	6E2											
pb0790	N706	D14	6	F	2	F2	6F2											
pb0791	N706	D15	6	G	2	G2	6G2											
pb0792	N706	D16	6	H	2	H2	6H2											
pb0793	N706	D17	6	A	3	A3	6A3											
pb0794	N706	D18	6	B	3	B3	6B3											
pb0795	N706	D19	6	C	3	C3	6C3											
pb0796	N706	D20	6	D	3	D3	6D3											
pb0797	N706	D21	6	E	3	E3	6E3											
pb0798	N706	D22	6	F	3	F3	6F3											
pb0799	N706	D23	6	G	3	G3	6G3											
pb0800	N706	D24	6	H	3	H3	6H3											
pb1823	N706	D25	6	A	4	A4	6A4											
pb1824	N706	D26	6	B	4	B4	6B4											
pb1826	N706	D27	6	C	4	C4	6C4											
pb1827	N706	D28	6	D	4	D4	6D4											
pb1828	N706	D29	6	E	4	E4	6E4											
pb1829	N706	D30	6	F	4	F4	6F4											
pb1831	N706	D31	6	G	4	G4	6G4											
pb1832	N706	D32	6	H	4	H4	6H4											
pb1833	N706	D33	6	A	5	A5	6A5											
pb1834	N706	D34	6	B	5	B5	6B5											
pb1835	N706	D35	6	C	5	C5	6C5											
pb1838	N706	D36	6	D	5	D5	6D5											
pb1839	N706	D37	6	E	5	E5	6E5											
pb1840	N706	D38	6	F	5	F5	6F5											
pb1941	N706	D39	6	G	5	G5	6G5											
pb1943	N706	D40	6	H	5	H5	6H5											
pb1945	N706	D41	6	A	6	A6	6A6											
pb1946	N706	D42	6	B	6	B6	6B6											
pb1947	N706	D43	6	C	6	C6	6C6											
pb1948	N706	D44	6	D	6	D6	6D6											
pb1949	N706	D45	6	E	6	E6	6E6											
pb1951	N706	D46	6	F	6	F6	6F6											
pb1954	N706	D47	6	G	6	G6	6G6											
pb1962	N706	D48	6	H	6	H6	6H6											
pb1965	N706	D49	6	A	7	A7	6A7											
pb2052	N706	D50	6	B	7	B7	6B7											
pb2321	N706	D51	6	C	7	C7	6C7											
pb2327	N706	D52	6	D	7	D7	6D7											
pb2335	N706	D54	6	F	7	F7	6F7											
pb2337	N706	D55	6	G	7	G7	6G7											
pb2340	N706	D56	6	H	7	H7	6H7											
pb2401	N706	D57	6	A	8	A8	6A8											
pb2408	N706	D58	6	B	8	B8	6B8											
pb2412	N706	D59	6	C	8	C8	6C8											
pb2413	N706	D60	6	D	8	D8	6D8											
pb2466	N706	D61	6	E	8	E8	6E8											
pb2524	N706	D62	6	F	8	F8	6F8											
pb2536	N706	D63	6	G	8	G8	6G8											
pb2539	N706	D64	6	H	8	H8	6H8											
pb2542	N706	D65	6	A	9	A9	6A9											
pb2543	N706	D66	6	B	9	B9	6B9											
pb2547	N706	D67	6	C	9	C9	6C9											
pb2549	N706	D68	6	D	9	D9	6D9											
pb2551	N706	D69	6	E	9	E9	6E9											
pb2552	N706	D70	6	F	9	F9	6F9											
